name,phone,address,services,hours,eligibility,website,lat,lng,source,category
Partnership Against Domestic Violence,404-873-1766; 404-870-9600,,Emergency shelter and support services for survivors of domestic violence,24/7 hotline,Survivors of domestic violence (adults and children),https//padv.org,33.9259511,-84.1371356,FACAA (linked),homeless_shelter
The Drake House,770-587-4712; 844-249-8367,"10500 Clara Drive, Roswell, GA 30075",Emergency and transitional housing for homeless women with children; support services,,Homeless women with children,https//thedrakehouse.org,34.01,-84.362,FACAA (linked),homeless_shelter
Solomon's Temple Foundation,678-766-5752,"2836 Springdale Rd SW, Atlanta, GA 30315",Holistic emergency and transitional shelter for homeless women and children; job training; financial literacy,,Homeless women with children,https//solomonstempleinc.org,33.677,-84.409,FACAA (linked),homeless_shelter
Community Assistance Center Financial Assistance & Education Center,770-552-4015,"1130 Hightower Trail, Sandy Springs, GA 30350",Financial assistance for rent and utilities; career counseling and employment training; educational programs,By appointment,Residents of Sandy Springs and Dunwoody experiencing financial hardship,https//ourcac.org,34.0126,-84.3564,FACAA (linked),financial_coaching
Community Assistance Center  Mini-Market Food Pantry,770-552-4015 ext. 500,"8607 Roswell Rd., Sandy Springs, GA 30350",Mini-Market food pantry providing groceries to residents,Mon-Fri 9:30 am-1 pm; first four Saturdays 9:30 am-12 pm,Residents of Sandy Springs and Dunwoody in need of food assistance,https//ourcac.org,33.9874,-84.3594,FACAA (linked),food_pantry
Community Assistance Center South Sandy Springs Branch,770-552-4015 ext. 701,"120 Northwood Dr, Suite 150, Sandy Springs, GA 30342",Food pantry; financial assistance interviews by appointment,Mon-Fri 9:30 am-1 pm (food pantry); financial assistance by appointment,Residents of Sandy Springs and Dunwoody in need,https//ourcac.org,33.9146,-84.3787,FACAA (linked),food_pantry
Goodwill of North Georgia  Career and Training Services,844-344-9675,"2201 Lawrenceville Highway, Decatur, GA 30033","Employment training programs, job placement assistance, career counseling",,Individuals seeking job training or employment assistance,https//goodwillng.org,33.7818,-84.276,FACAA (linked),employment_training
Atlanta Housing Authority,404-892-4700,"230 John Wesley Dobbs Avenue NE, Atlanta, GA 30303",Public housing and housing voucher programs; affordable housing resources,Mon-Fri 8 am-5 pm (except holidays),"Low-income individuals and families, seniors, people with disabilities",https//www.atlantahousing.org,33.7609,-84.3779,FACAA (linked),housing_resources
Housing Authority of Fulton County,404-588-4950,"4273 Wendell Drive SW, Atlanta, GA 30336",Rental assistance and housing programs for low-income families and individuals,Mon-Thu 8:30 am-5:30 pm; Fri 8:30 am-12:30 pm,Low-income individuals and families,https//www.hafc.org,33.7374,-84.5488,FACAA (linked),housing_resources
Open Hand Atlanta,404-872-6947,,Medically tailored meals and nutrition services for individuals and families,Mon-Fri 9 am-4 pm (Client Services),Individuals needing nutritious meals; referrals may be required,https//www.openhandatlanta.org,,,FACAA (linked),food_pantry
North Fulton Community Charities (NFCC),770-387-4465; 678-387-4469,"11270 Elkins Road, Roswell, GA 30076",Food pantry; emergency financial assistance; education and job counseling,"Mon, Wed, Fri 9 am-4:30 pm; Tue & Thu 9 am-7:30 pm; Sat 10 am-1 pm",Residents of specified North Fulton zip codes in need of assistance,https//nfcchelp.org,34.0575,-84.3213,FACAA (linked),food_pantry
Poverty 2 Prosperity PS Inc.,844-937-3800,,"Supportive services and resources for low-income, minority, elderly, disabled and vulnerable populations; homeless prevention",,"Low-income individuals, minorities, elderly, disabled or vulnerable populations",https//poverty2prosperityga.com,,,FACAA (linked),housing_resources
Fulton County DFCS Office (Northwest),(404) 206-5778; 1-877-423-4746,"1249 Donald Lee Hollowell Pkwy NW, Atlanta, GA 30318","County DFCS office providing assistance with SNAP, TANF, Medicaid, and other benefits; accepts applications and provides information; also offers Interim Assistance (temporary financial assistance for disabled adults)",Mon-Friday 900 am- 4:00 pm.; closed weekends,"Residents of Fulton County; for Interim Assistance disability lasting at least three months, income < $225/month, resources < $500https//dfcs.georgia.gov/locations/fulton-nw-county",https//dfcs.georgia.gov/locations/fulton-nw-county,33.772226,-84.440145,DFCS,
Medicaid and PeachCare for Kids Application,1-877-423-4746,"47 Trinity Ave SW, Atlanta, GA 30334","Provides health coverage and enrollment assistance for individuals and families meeting income, resource and citizenship requirements; includes Medicaid and PeachCare for Kids",,"Low-income families and individuals, pregnant women, children, people aged 65+, blind or disabledhttps//dfcs.georgia.gov/services/how-do-i-apply-medicaid",https//dfcs.georgia.gov/services/how-do-i-apply-medicaid,33.748995,-84.392439,DFCS,
Community Services Block Grant (CSBG),404-657-3427; 1-877-423-4746,"47 Trinity Ave SW, Atlanta, GA 30334","Federally funded program supporting community action agencies to provide services addressing employment, education, housing, nutrition, emergency services and healthhttps//dfcs.georgia.gov/services/community-services-block-grant-csbg",,U.S. citizen or legally admitted immigrant; household income at or below 125% of Federal Poverty Guidelineshttps//dfcs.georgia.gov/services/community-services-block-grant-csbg,https//dfcs.georgia.gov/services/community-services-block-grant-csbg,33.748995,-84.392439,DFCS,
Low Income Home Energy Assistance Program (LIHEAP),1-877-423-4746,"47 Trinity Ave SW, Atlanta, GA 30334","Provides energy bill payment assistance, crisis assistance and low-cost weatherization for low-income householdshttps//dfcs.georgia.gov/services/low-income-home-energy-assistance-program-liheap",,"U.S. citizens or legally admitted immigrants; household gross annual income at or below 60% of the state median; applicants must pay energy bills for primary heating; served on first-come, first-served basishttps//dfcs.georgia.gov/services/low-income-home-energy-assistance-program-liheap",https//dfcs.georgia.gov/services/low-income-home-energy-assistance-program-liheap,33.748995,-84.392439,DFCS,
Child Care and Parent Services (CAPS) Program,1-833-4GACAPS (1-833-442-2277),"2 Martin Luther King Jr. Drive SE, 754 East Tower, Atlanta, GA 30334","Provides child care subsidies and scholarships for low-income families while parents work, attend school or traininghttps//caps.decal.ga.gov/en/CAPSTransition",,"Families must meet income and activity requirements (working, training or attending school)https//caps.decal.ga.gov/en/CAPSTransition",https//caps.decal.ga.gov,33.751664,-84.388954,DFCS,
DFCS Customer Contact Center,1-877-423-4746,"47 Trinity Ave SW, Atlanta, GA 30334","Provides assistance with applications, renewals and general inquiries for SNAP, TANF, Medicaid, PeachCare for Kids and other DFCS programs",Phone applications accepted Mon-Fri 5 am-midnight,Georgia residents seeking assistance with DFCS programs,https//dfcs.georgia.gov/contacts/snap-customer-contact-center,33.748995,-84.392439,DFCS,
EBT Hotline,1-888-421-3281,"47 Trinity Ave SW, Atlanta, GA 30334",Interactive voice response hotline for ordering or replacing Electronic Benefits Transfer (EBT) cards and checking balanceshttps//dfcs.georgia.gov/about-us/contact-information,,SNAP recipients who need assistance with EBT cards,https//dfcs.georgia.gov/contact-information,33.748995,-84.392439,DFCS,
Adoptions Services,(470) 349-1705,"47 Trinity Ave SW, Atlanta, GA 30334",Provides adoption services for children and families; assists prospective adoptive parents and manages adoption record searches,,Prospective adoptive parents must meet state adoption requirements,https//dfcs.georgia.gov/contact-information,33.748995,-84.392439,DFCS,
